n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
123,2,3648.0179,3646.9787,2.831886e-04,2.129842e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
124,2,3648.0024,3646.9632,2.809053e-04,2.112670e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
125,2,3647.9873,3646.9480,2.786585e-04,2.095771e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
126,2,3647.9725,3646.9333,2.764473e-04,2.079141e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
127,2,3647.9581,3646.9189,2.742710e-04,2.062773e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
128,2,3647.9440,3646.9048,2.721286e-04,2.046661e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
129,2,3647.9302,3646.8910,2.700195e-04,2.030798e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
130,2,3647.9168,3646.8776,2.679427e-04,2.015179e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
131,2,3647.9036,3646.8645,2.658977e-04,1.999799e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
132,2,3647.8908,3646.8516,2.638837e-04,1.984651e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
133,2,3647.8783,3646.8391,2.618999e-04,1.969732e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
134,2,3647.8660,3646.8268,2.599458e-04,1.955035e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
135,2,3647.8540,3646.8148,2.580206e-04,1.940555e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
136,2,3647.8423,3646.8031,2.561237e-04,1.926289e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
137,2,3647.8308,3646.7916,2.542544e-04,1.912231e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
138,2,3647.8196,3646.7804,2.524123e-04,1.898376e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
139,2,3647.8086,3646.7694,2.505967e-04,1.884721e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
140,2,3647.7978,3646.7587,2.488070e-04,1.871260e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
141,2,3647.7873,3646.7481,2.470426e-04,1.857991e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
142,2,3647.7770,3646.7378,2.453032e-04,1.844909e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
143,2,3647.7669,3646.7277,2.435880e-04,1.832009e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
144,2,3647.7570,3646.7179,2.418967e-04,1.819288e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
145,2,3647.7474,3646.7082,2.402286e-04,1.806743e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
146,2,3647.7379,3646.6987,2.385835e-04,1.794370e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
147,2,3647.7286,3646.6894,2.369607e-04,1.782165e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
148,2,3647.7195,3646.6804,2.353598e-04,1.770125e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
149,2,3647.7106,3646.6714,2.337804e-04,1.758247e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
150,2,3647.7018,3646.6627,2.322221e-04,1.746527e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
151,2,3647.6933,3646.6542,2.306844e-04,1.734962e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
152,2,3647.6849,3646.6458,2.291669e-04,1.723549e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
153,2,3647.6767,3646.6375,2.276693e-04,1.712285e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
154,2,3647.6686,3646.6295,2.261911e-04,1.701168e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
155,2,3647.6607,3646.6216,2.247320e-04,1.690194e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
156,2,3647.6529,3646.6138,2.232916e-04,1.679361e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
157,2,3647.6453,3646.6062,2.218695e-04,1.668666e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
158,2,3647.6378,3646.5987,2.204654e-04,1.658106e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
159,2,3647.6305,3646.5914,2.190790e-04,1.647679e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
160,2,3647.6233,3646.5842,2.177099e-04,1.637382e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
161,2,3647.6163,3646.5771,2.163579e-04,1.627213e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
162,2,3647.6093,3646.5702,2.150225e-04,1.617169e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
