lam,flux,err
4472.43931279975,4.7247794e-16,3.122549e-17
4475.2997447058715,4.9827073e-16,3.1315447e-17
4478.160176611992,5.1935333e-16,3.1549734e-17
4481.0206085181135,5.0008703e-16,3.1459178e-17
4483.881040424235,4.908238e-16,3.1101256e-17
4486.7414723303555,5.178944e-16,3.1353252e-17
4489.601904236477,4.5765375e-16,3.0959382e-17
4492.462336142598,5.078758e-16,3.0992876e-17
4495.322768048719,5.101393e-16,3.0959782e-17
4498.18319995484,5.2357425e-16,3.1118743e-17
4501.043631860961,5.20599e-16,3.1110028e-17
4503.904063767082,5.396508e-16,3.1266037e-17
4506.764495673204,5.2103014e-16,3.1096528e-17
4509.624927579324,5.849177e-16,3.126797e-17
4512.485359485446,6.440472e-16,3.1781216e-17
4515.345791391566,6.981482e-16,3.20671e-17
4518.206223297688,6.824162e-16,3.1715594e-17
4521.066655203809,6.3656284e-16,3.14652e-17
4523.92708710993,5.9620934e-16,3.1040644e-17
4526.787519016051,5.8104496e-16,3.063724e-17
4529.647950922172,5.120529e-16,2.9936153e-17
4532.508382828293,5.278718e-16,2.9900114e-17
4535.368814734415,5.3356003e-16,2.9799053e-17
4538.229246640535,5.939054e-16,3.006505e-17
4541.089678546657,5.465659e-16,2.964655e-17
4543.950110452778,5.099032e-16,2.9310602e-17
4546.810542358899,5.191672e-16,2.934689e-17
4549.67097426502,5.042045e-16,2.907261e-17
4552.5314061711415,5.0786e-16,2.88121e-17
4555.391838077262,5.196951e-16,2.8775284e-17
4558.2522699833835,4.488425e-16,2.7986624e-17
4561.112701889504,4.050589e-16,2.7688715e-17
4563.9731337956255,3.9030362e-16,2.7074712e-17
4566.833565701747,4.1938242e-16,2.7281556e-17
4569.6939976078675,4.4681655e-16,2.7498045e-17
4572.554429513989,4.681782e-16,2.7515182e-17
4575.414861420109,4.2343976e-16,2.7123932e-17
4578.275293326231,3.9556574e-16,2.6642055e-17
4581.135725232352,4.2274165e-16,2.6691755e-17
4583.996157138473,4.494859e-16,2.6926497e-17
4586.856589044594,4.2536052e-16,2.6624581e-17
4589.717020950715,4.1402462e-16,2.6343118e-17
4592.577452856836,3.677912e-16,2.5799866e-17
4595.437884762958,4.3488048e-16,2.6275935e-17
4598.298316669078,4.6202884e-16,2.6394933e-17
4601.1587485752,3.9661312e-16,2.5947506e-17
4604.019180481321,4.081947e-16,2.5885056e-17
4606.879612387442,4.3042278e-16,2.5970603e-17
4609.740044293563,4.0767974e-16,2.5703671e-17
4612.600476199685,4.496904e-16,2.6038838e-17
4615.460908105805,4.4342712e-16,2.5867944e-17
4618.321340011927,4.4248562e-16,2.5864116e-17
4621.181771918047,4.62056e-16,2.5710254e-17
4624.042203824169,4.6300875e-16,2.5717391e-17
4626.90263573029,5.096991e-16,2.6188288e-17
4629.763067636411,5.741787e-16,2.6635593e-17
4632.623499542532,5.498153e-16,2.6251283e-17
4635.483931448653,5.299849e-16,2.6087434e-17
4638.344363354774,4.854999e-16,2.5468616e-17
4641.2047952608955,5.4026927e-16,2.5782679e-17
4644.065227167016,5.395392e-16,2.5817617e-17
4646.9256590731375,4.8587096e-16,2.5451155e-17
